9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
48	C19ORF66	LOC645436	C19ORF62	SCAMP1	PBX2	CAD	IFITM2	ARS2	LOC347376	ATP5O	RPS15A	C18ORF19	CES2	KIFC2	GPD1L	SLC22A18AS	ZMYM3	ZNF395	PI4K2A		CDH23	C17ORF53	LOC401317	OTUD1	SPCS3	ZNF224		LRRC8C		NBEAL2	CCL4L2	TREM2	ZNF35	UBXN4	C10ORF104	C14ORF153	PITPNB	C6ORF47	ATXN2	VPS28	RIN2	TRAPPC1	RGS16	ADAP2	DCK	LOC124220	NINJ2	TRAF3	
49	SPINT1	LOC644863	ZNF512	AGPAT2	SPAST	STIP1	IFI44	HLA-E	SLC25A44	FAM114A2	RPS16	LDLRAP1	C9ORF103	DTNA	RRP1B	DHRS7B	PGM3	TM2D2	FCGR2B		CD33	E2F2	YPEL4	EXT2	GHITM	TXNDC9		AP3B1		FLJ39827	APOBEC3C	SIRPA	FBXL5	ZNHIT1	ZNF302	PPID	SERP1	ZFYVE20	ST6GALNAC4	GNL3	AGXT2L2	NUCB1	HISPPD2A	GPBP1	RBBP7	MOCOS	ARNT	UBA7	
50	CWF19L1	LOC654121	FAM116A	GALNT10	PSMD3	EIF2B4	OASL	HLA-H	AXIN1	C9ORF25	ACOT9	UBE2E2	COG5	AGPAT9	HPS1	KIAA0319L	CBY1	AMT	ABCA6		CBLB	LITAF	CLIC4	SNRPB2	GORASP2	CSPP1		ATF5		PANX2	TRAF1	QSOX1	PLEKHG3	MPV17	SLFN12	ZNF14	NUDT3	CCR1	VIPR1	F5	POLR2F	MPP1	LINCR	C13ORF31	C5ORF22	MS4A6A	MARCKSL1	ARL4C	
51	KCTD2	GFM2	TLE3	ZBTB25	NOMO1	SLC35A4	ANO6	SLAMF7	RNMT	LOC645688	LOC388474	SEC11A	DEDD2	ATXN1	BAP1	NR1H3	ZMIZ1	LOC401233	ACTA2		SLC29A3	LOC727761	SLC22A5	RASGRP3	RTN4	RHOT2		ZBED4		PDE4B	ARHGAP1	BCL10	TRIM41	YBX1	DARS	CATSPER2	PPOX	IL6R	PPFIBP2	AP4E1	HEBP1	FUCA1	CD86	HSD17B4	NFKBIB	RGS18	KIAA0141	F13A1	
52	KIAA1468	ZNF721	TOP1P2	ACADS	FLJ20254	PPP6C	IFI6	HLA-B	LOC730740	LOC402251	LOC648622	ADO	ZNF296	PLA2G4A	S100A9	ATP6AP1	GFPT1	ANKRD13A	TXNDC3		IGF2R	OLFM1	PAPLN	POLR2H	PPP2CB	PIGN				NDUFS3	PIM3	MED19	MSRA	AFF4	HNRNPA3	GSDM1	HOOK2	C11ORF75	SPP1	NP	TMEM45A	CLDN12	CNPY4	PARVG	PIM1	SMAP1	SNX6	CDK10	
53	KLHL20	XRN2	RAB2A	ZCCHC7	PPP2R2B	SNORD13	HERC6	STAT2	UBE4B	ISY1	RAB22A	FBXO31	SLC43A2	DRAM1	MLKL	C20ORF196		ZBTB20	MSL3		PPAP2B	UNG	RBM26	ZNF350	COPA	XPO1				LRIG1	CCL3L1	KMO	UVRAG	MKL1	MRPL20	HCG2P7	CHORDC1	EML3	FMO5	UHRF2	RHOG	DIS3L	CAPN1	RNASE2	BTBD12	BHLHB3	FXYD6	XYLT1	
54	KPNA4	ARMC8	UQCRC1	SMARCB1	C2CD2L	ACO2	HERC5	RBCK1	GALNT11	SLC25A26	INTS10	CYTSA	LOC645317	SLC37A3	PPP1R14A	SPNS1		LOC643452	DEFB1		CD109	MELK	UTX	SAP130	TMED7	XPO4				RNF20	SGPP2	CENTG3	FAM127A	FNDC3A	TMEM128	STX6	LPXN	TMX3	SLC16A5	LOC650950	EMR4	C1ORF59	SAV1	UCHL5IP	ANKRD20A1	RAG1AP1	SLC25A40	NDFIP1	
55	LOC440354	KRTCAP2	ACTR6	MSN	C5ORF21	TMEM66	DHX58	PRPF3	PHGDH	GPATCH2	ZNF33A	VIM	SLC38A6	MC1R	TTC9C	DENND2D		LASS6	PREB		RSC1A1	HTRA1	PTN	SUMO1P1	UGDH	YWHAG				KATNB1	NDRG3	MBOAT1	RAPH1	FKSG30	FAM179B	GGA1	LTBP4	EXD2	SSH2	PEA15	ILK	TRAPPC5	ERP27	EEPD1	SF3A3	CASD1	MASTL	CHN2	
56	LOC647009	LOC644063	SMEK2	RSL24D1	TGOLN2	ATP5SL	ISG15	HLA-F	SERPINE1	LOC440737	FXYD5	GPT2	VPS8	FLJ40448	KTN1	TBC1D2		DNAL1	P15RS		ASPHD1	STIL	JUND	WDR46	XPO7	VPS35				TWSG1	APBB1IP	DMXL1	ARMCX6	PPP1CB	WRNIP1	HNRNPU	SDHAF1	DNAJB12	FBXO15	MRFAP1L1	NCF4	LGALS8	TPST2	CCDC23	LILRB4	C14ORF121	TMEM80	PTK6	
57	LOC653438	TUBA1C	RNF19A	RPUSD1	C19ORF56	ASB7	LY6E	TMEM140	SERPINH1	LOC650919	LOC283932	BCOR	MDH2	KCNK13	S100A8	S100P		ATG4A	C19ORF10		C1ORF198	RPS6KA3	LOC197135	SMARCA4	ARL6IP6	NPTN				PGM5	TXN	SMARCAL1	PRKCD	SNX17	KLF10	LMOD3	ANXA5	CYFIP2	SLC5A6	ZNF746	PLEKHM1	POLR3GL	CDA	CD300A	PRCP	MRPL49	ZNF671	SLC22A16	
58	MAPK6	LOC648695	PNKP	ARHGDIA	ICK	LOC646675	ITGAE	AATF	DAG1	LOC113386	RPS27	AVPI1	C4ORF32	FOXD2	SNX8	LHFP		CHES1	INO80		MKRN2	FBXO5	SDCBP	ZW10	MGAT2	SYNCRIP				TMC6	HERC2	PLD3	DDX24	ERCC1	ATG5	KCNH6	NFATC1	LOC221442	PSMA5	C10ORF54	PRKCDBP	GRN	KLF9	DDEF2	HHEX	CEBPB	TIMP3	ATP2B4	
59	MEX3C	WDR57	C9ORF167	MYD88	ITGB4BP	LOC644799	MAFA	SP140	LOC440926	GIT2	RPS29	FPR1	TMEM183B	PNKD	IRF4	FLRT2		TBC1D5	CISD2		SLC38A1	SMC4	HMGN2	SMAD6	PGRMC1	ERGIC2				PID1	CCL3L3	YIF1B	NDE1	TRIM33	SUPT4H1	YRDC	COPB1	LRSAM1	WDR91	ZNF823	QPCT	NCKAP1L	STAU2	DCBLD2	ZIK1	DIXDC1	FMO4	LOC729148	
60	MGAT2	ILF3	GDI1	ASB3	GOSR1	TRIM47	DDX58	TRAFD1	GARS	LOC651436	RABL2B	DSC2	CHD9	CLEC4F	PPP1R3B	SLC24A6		FVT1	MTMR10		TCFL5	GPSM2	PTK2B	BOP1	PSMD10	TBC1D20				MAP3K4	EIF2AK3	NKG7	ACP5	SBF2	LOC285074	SLC39A11	TMEM165	RECQL	SLC46A3	FILIP1L	GPSM1	GPS1	FLJ10996	PURA	FAM158A	LOC649362	AFTPH	FCER2	
61	MRPL28	LOC648210	TICAM1	SHARPIN	CNOT8	TP53RK	SIGLEC1	KCNJ2	TMEM2	TMEM59	SUZ12P	ZNF33B	FAM162A	DMXL2	BATF3	CREB3L2		FLJ45244	RNF44		BEX2	CHEK1	C17ORF48	CCT6A	ACBD3	KIAA0427				ZFX	CCL3	PTPRF	LOC400890	KIAA1967	LOC440928	ZNF483	RABL3	NR4A2	ADHFE1	ZNF419	ST13	TLR4	HDAC3	C20ORF52	CAT	LOC652479	ANKS1A	PPP1R10	
62	NAP1L4	DHX9	L3MBTL2	PJA2	OSBPL9	SNRNP27	FBXW11	APOL3	COL22A1	AGBL5	TOMM7	C11ORF1	NDUFB5	MAPK9	RAB40B	CTSD		ALDOC	LOC284757		LOC646817	BARD1	H2AFJ	NSUN4	IBTK	LMNA				SUCLG1	LOC650832	RNF14	LOC651524	ZNF175	FBXL20	ZNF702P	MMP19	TSPYL5	WDR55	PHACS	LRRC25	ABCC5	RGS19	EP400	TMOD3	C6ORF130	ZNF467	TCEAL3	
63	NRAS	ZMYM1	CGGBP1	PPARD	MLX	EXOSC5	EIF2AK2	ITGAL	CNKSR3	NME1-NME2	LOC645683	C16ORF57	MRPS22	EIF2C1	CCDC6	BOK		ANKRD26	PSCD2		ALOX5	CCNF	COMT	RBBP9	SAR1B	CYB5B				ERICH1	TNFSF9	CD164	CALN1	WDR20	SAFB	LOC727726	ZNF177	ZNF773	RBL2	KIAA1009	FAM44B	RAB3IL1	PAG1	COPS6	CAMK2G	INPP5D	MOSC1	EXOG	
64	NUP54	GNG10	ATG9A	ADCK5	LARP7	RBM22	OAS1	NUP50	ADM2	RPLP0	DCDC5	LOC85390	SLFN11	CNOT10	LOC152195	FOLR3		CTSZ	SEC11C		ITPKA	AURKA	TUBB	SH2D3C	SNAPC3	MTMR2				SLC36A4	KLHL6	ELF1	FYN	YTHDC1	PHF3	TMEM17	PSMA3	CRHR1	FLNB	MYCBP2		WDR70	FLVCR2	BEST1	RXRA	CARM1	FAM3C	CASK	
65	PCNP	PIPSL	CRIPT	RBM42	LOC644935	DDX19A	OAS3	CFB	MARS	FAU	LOC91561	COL9A2	COX7B	MYL12A	ISYNA1	ANKRD33		FAM35A	ZNF83		C11ORF45	ARNTL	CSDE1	PLEK2	UBP1	NETO2				AZI2	TP53BP2	P4HA1	ANXA2	ARPC4	BCDIN3D	ZNF549	RAD17	AAK1	HNRPUL1	ACD		NPL	ATP6V1E1	TOM1L2	C9ORF89	LTB	ARHGEF18	LOC642031	
66	PDCD10	LOC729764	PREX1	MVP	SH3BP5L	TTLL12	IFIT1	IL1F7	HEBP2	LOC347544	RPUSD4	THBD	MRPS30	TNIK	CCL26	MTX1		USP4	PIK3R5		HPGD	CEP55	RNF19B	MRPL42	PEX6	HMGN1				FJX1	UFM1	PDHB	CD52	YIPF4	SSBP3	CDKN2AIPNL	TCEA2	TAF1C	IKBKB	ATP6V0E1		ARHGAP4	MAP3K2	GPRIN3	CXCL5	BMP2K	PLB1	KIFAP3	
67	PDE12	PSMC4	ACAD11	TSR2	LOC652388	LOC652545	GCNT2	UBD	SATB1	LOC390354	DDA1	SHMT2	FAM156A	MGC16121	SULF2			PLXNA3	CENPV		IL28RA	MCM10	RASSF1	NFKBIZ	SEC24D	BRD8				CXCL16	MAP2K3	DYRK1A	C10ORF141	LOC653103	WDR22	VPS24	ZNF616	FAM104A	UCK2	C6ORF85		NUDT14	EMILIN2	MAPRE2	DJ341D10.1	C17ORF61	PTP4A1	SNRNP70	
68	PGLS	MRPS31	ZFAND2A	LAPTM5	NFYC	ARGLU1	GMPR	MR1	EBAG9	LOC441034	LOC387841	RSL1D1	CHKB	RAB7A	RASL10A			XPC	SSBP2		GDF15	CCL2	CASP6	PFAS	ARL15	SRP72				ALS2CR4	PIK3CD	METTL7A	LOC387934	CTGLF3	CCDC77	LOC441087	TRIP11	VHL	SH3KBP1	DNAJC24		NMRAL1	PCGF2	CTSB	CASP3	SRPR	ITSN1	C19ORF59	
69	PIH1D1	LOC643668	CD37	PPP1R12C	ELF2	PTDSS1	KIAA1618	SLC15A4	TNFSF14	LOC389435	LRP10	LOC85389	SMPDL3A	CD1B	RTKN			SMAD2	RRBP1		SEL1L3	RAD51AP1	SNORD36C	CPSF6	NADSYN1	MLL4				RNF10	MESDC1	MAGED1	PILRB	RBMX	ALKBH3	LOC123688	ZNF18	CSNK1E	MAST3	FASTKD2		MAK10	LRRC32	FLJ10986	PTTG2	CNNM4	NCAM1	SOCS5	
70	POLD3	PLEKHF2	LOC644033	CAMLG	SFMBT1	MRPL54	MX2	VPS36	MAP3K8	LOC642109	RPL23	SYPL1	DECR1	MYO9B	ZNF317			PPP1R3E	PDIA5		SLC35A1	LOC728037	TIGA1	GTF2B	ARMC7	NUMA1				HEY1	YIPF6	CCDC90A	ZNF451	PHB2	SF3B14	C21ORF24	STARD3NL	BRD9	IARS	GPR162		GLB1	CUGBP1	IDH1	PWWP2B	GPR160	GGA2	ACOX1	
71	POLE	C17ORF60	ARIH1		TOLLIP	HOOK3	NGRN	PML	CPNE8	NT5C2	EIF2S3	PFKP	ANKRD12	LEPREL1	CTNNAL1			DHRSX	PLIN2		C16ORF68	LTA4H	UBR2	UBC	THAP1	CCDC41				CXCR7	UGCG	TUBE1	SSR1	ATP5D	KIAA0240	ARL16	HIST1H4K	WIPF1	SLC9A9	CD68		C15ORF52	C1ORF43	FIBP	PSMF1	TMEM38B	C1ORF77	C6ORF211	
72	PQBP1	LOC642817	CORO7		PTPN6	C19ORF24	TXNDC12	TM9SF3	SRF	LOC646064	ABCC1	TRIM44	HPSE	RUFY4	WNT5A			ETFDH	ATXN3		ARHGEF10	RFC4	EIF4EBP3	DNASE1L3	RAB1A	SEPHS1				CASP5	DNAJB9	SLC37A1	LPIN1	THOC6	TAF5	C15ORF63	ORAI3	PPP2R2D	VENTX	LOC728127		CHMP6	TBCB	ST3GAL4	APPL1	SRP68	CES1	MTE	
73	PREI3	ROCK1	TMEM39B		RPAP1	SH3BGRL3	TRIM5	LRRCC1	JMJD1C	RPS12	LOC400455	BRPF3	C16ORF75	KIAA0513	GPR65			EIF3G	HSPA5		MCOLN3	MCM5	NDRG1	APOBEC3G	ZNF644	SCOC				LEPROTL1	ALDH7A1	EPDR1	SMYD4	MRPS5	SND1	FKBP14	ZDHHC13	GNS	COL8A2	PIGH		PCCA	CCDC109B	KCNMA1	RASSF4	HLA-DPA1	FLJ20674	NUP153	
74	RAB18	SDCCAG1	KCTD9		DENND4A	LGALS9	C22ORF28	HCP5	RNPS1	STOX2	STARD8	CSNK2B	UQCRHL	PGD	KIAA0182			TYSND1	STRADB		TRAF5	TIMELESS	TTLL5	DKC1	PREI3	ZNF629				SSBP4	FLYWCH2	ALG6	GZMB	UBE2H	COX6B1	LOC399900	CCNYL1	LOC338758	CXORF26	LOC652595		UBQLN1	EFTUD1	ETS1	ST6GAL1	ZNF443	PSRC1	HUWE1	
75	RBM25	KIAA0261	TMEM156		TCTA	SNRK	TOR1B	ORC3L	HSPA1A	RPL27	ZBTB7B	KCNMB3	DDR1	ARPC2	INTS3			TRIM37	MMP7		BAALC	FAM54A	POP5	FLJ22639	DPM1	SPIN4				ATP5H	AZIN1	ADAM8	ZNF696	FAM173A	PIGF	PLDN	KCMF1	TNFSF8	KDELR2	LOC728772		NMT1	HCLS1	TMEM180	PLEKHA2	BCL9	RCE1	CLEC5A	
76	RBM7	LBR	PAPOLA		ZAK	HSD17B11		BTN3A2	FBXO33	EIF3F	GMPR2	MPP5	TOR1AIP1	DPYSL2	SOX8			PMM2	TFRC		SLC25A25	OIP5	RCC2	ZFP36L2	ZNF775	DLG4				SPRY1	FAM50B	LAD1	CRKL	ATP11C	RSBN1	C17ORF97	CD99	RTCD1	XPO5	PPAPDC2		RNF130	ZNF331	HAMP	MYADM	SLC12A6	ASGR2	KIAA1715	
77	RHOG	RNFT1	ZNF800		ATP6V0B	OBFC2B		USP9X	CD300C	LOC649049	CRYBB2	DERL2	ZCCHC11		HEMK1			LOC651380	TOP2B		CDKN2AIP	PLK4	LDHB	ALDH1B1	GLG1	BUB3				PNRC1	GOLGA5	IL2RA	CYLD	DRAP1	NDUFA1	CCND3	CDK5RAP1	ZNF562	FGR	TMEM64		C11ORF59	STK11IP	WDR40A	SLC39A1	CDKN2B	HLA-DOA	NRIP3	
78	RIF1	C15ORF44	GPX1		SRRM1	IFT122		ADAR	GNG2	PRDX2	FBXW2	GTF2F2	PPCS		NMD3			GMCL1	HKR1		CCL22	DNAJC9	MAN2B2	BCS1L	FOXK1	CCDC132				NAB1	RIT1	PTPRJ	NAT5	PFKL	ATP5S	CARD6	LOC646567	SCAP	DLAT	TXNL2		FOLR2	CAPZA2	PIN1	FLJ12355	HLA-DMB	SRP54	KLHL22	
79	RINT1	LOC652615	C14ORF104		TWF2	RUVBL2		MFAP1	SPTAN1	DPP8	AMY2B	MLST8	MRPL18		C5AR1			FAM168B	C17ORF44		UCHL1	MCM3	SEMA4A	WDR36	BAD	XPR1				HDDC3	LRRC50	KIAA1737	LOC399715	KBTBD2	ZNF621	PSMD12	C10ORF33	METTL3	ZFP36	ZNF187		FAM18B	ID3	HSBP1	CRYZL1	DIABLO	RNF125	NMNAT3	
80	RTN2	C7ORF28B	DCUN1D4		CAPG	PARVB		HCG4	H3F3A	RPL30	HDGF2	EMR1	APOOL		CABIN1			ATP6V1E2	SLC35B1		EMILIN1	CCDC99	LASS2	CCDC50	CTNNA1	PBX3				SIGLEC5	UNC50	CHPT1	CXORF45	LOC727762	EIF3I	SNAPC5	C20ORF24	HPS4	CD99L2	WDR43		SPAG11A	OAZ1	LYST	ZFYVE21	KIAA0494	UBE2J1	MPST	
81	SAR1B	NDUFA3	UBE2Q2		NSUN5B	NDUFS8		MOV10	BNIP2	LOC285053	CRSP2	ITGB1BP1	DPH5		DHRS11			TSPAN13	PCBP2		DPYSL3	MCM6	CSNK1A1	NCOA1	KIAA1279	TMEM135				C3ORF59	MLLT11	TUBA3D	PRPSAP1	BLCAP	LYRM2	LOC654000	MLH1	TMSB4X	USO1	VDAC1		C3ORF39	PKD2	C10ORF119	LOC730820	TRIM27	BID	CEP110	
82	SEC24D	TSNAX	CAPNS1		SH3BGRL	PA2G4		PLEKHA7	TSPAN9	LOC127295	FAM117B	PEX19	FASTK		C3AR1			C1ORF69	PBRM1		ZNF7	GINS3	ASXL1	FABP4	NSF	UPF3A				AGK	LOC493754	PARP10	CRAMP1L	FAM105A	ZNHIT3	PIK3C3	LMBRD2	MCM3AP	CHST14	TMUB2		DNAJC8	SWAP70	ABI3	C1ORF123	EXOC7	CX3CR1	ANKRD9	
83	SEPT15	GPR89C	VPS4B		WDR37	DEAF1		NLRC5	MIDN	RPS14	ING2	PPP1R13B	PRKRIR		MMP12			IER2	LHFPL2		SKP2	CENPE	XRCC5	PPRC1	SGSM3	LACTB2				TRK1	CMTM3	LOC729021	RCAN3	MRPL23	ZNF26	ARHGEF3	RQCD1	GNAS	FAM125B	TSEN34		TLR5	ZMYND8		CSNK1G2	CYB5A	CES4	MT1JP	
84	SLC35A3	ACP1	SHC1		UBR5	WBSCR16		HLA-A		OBFC1	MRPL10	LOC643310	PCBD1		CBR3			CTDSP2	HSD3B7		UBTD2	PTTG1	PRPF38B	IMP3	NEK1	RMND5B				MAP4K4	CDRT4	LOC650369	CBX4	IQCG	RBM12	INPP5E	OSTM1	BEXL1	CAB39	ZNF20		CLTA	C6ORF153		STX1A	LOC648984	MGC42367	NOXA1	
85	SLC35F5	SMS	KLHL7		PEX14	FARSA		SP100		LOC647041	UBA52	TSKU	SFRS2B		ADAM15			TCEB3	JARID1A		STAG3L4	MORN2	ARID5B	NOL6	LARP4B	RPF1				LDLRAD3	ARMCX2	GLIS3	CCDC53	PTBP2	NDUFS5	HSD17B7	TMCO1	LOC132241	HSD11B1	QKI		DGCR6	PHKB		FTHL7	ALAS1	MPPE1	C7ORF28A	
86	SLK	LOC653354	BLOC1S1		C20ORF191	CD84		LBA1		RPL19	RPL3	LOC644680	THBS1		SUCNR1			CHRNB1	SEMA4F		PRKAG2	SPA17	ATP5EP2	TESK2	MFN1	SNX4				PIGV		CLEC16A		SIRT1	CLDN15	SSU72	LZTS2	SFRS9	ZBTB9	MGC102966		CD59	GZF1		PANK1	AHCYL2	HSPC047	SMPD2	
87	SPCS3	REXO1	CSK		LOC653764	FAM195A		MIA3		C16ORF13	RPL18A	CFDP1	MTX3		MACF1			C16ORF91	SMTN		FDX1	CCNE1	KIAA2010	KIAA0040	TMED2	SNX33				PIAS3		C2ORF76		PAF1	TMEM49	LOC440704	CYLN2	AXUD1	FANCE	WIPI2		C10ORF11	ALKBH1		ZNF24	USP37	AKT1	UNC84B	
88	SPTLC1	GPR89A	SCAMP2		SRXN1	CLPP		OAT		ZC3H14	RPL11	FAM10A4	THOC7		PITRM1			LPP	GMPPB		LAMA5	NBL1	SERTAD2	SLC12A2	MED13L	BBS7				PIGT		GGT5		COG4	PDIA6	CECR6	TTLL3	POLR3A	KIAA1862	ZNF613		MED20	ACOX3		BTK	PANK2	ZKSCAN4	ANKRD6	
89	ST13	SENP6	SNIP1		SURF4	LYSMD4		CLDN7		CLNS1A	LOC731365	PLAC8	MRPS18B		ALDH5A1			ANKRD39	WDR54		RCAN1	MCM4	UBE2D3	JUNB	MTFR1	STRAP				DNER		RRAGB		NXT2	DNM1L	C9ORF64	SEC22A	GSTM3	LOC388588	LOC441126		SEPP1	PROS1		ABHD15	KPNB1	PARL	ANAPC13	
90	STARD5	GATAD1	MED10		CP110	PHF14		ZNF668		EIF3L	LOC645899	C1ORF54	KL		RPL28			LRRC28	CCNI		PAX8	PLK1	RAB21	GUF1	SLC35F5	SUCLA2				PRDM8		KIAA0196		CLIP1	COX7A2	PDGFB	KIAA2013	F2R	ATP6V0A2	NMNAT1		ARMCX1	LOC606724		KIAA0247	FGD4	TPCN1	GFRA2	
91	STX10	NUCKS1	MGC71993		LOC728944	BANF1		SELT		COX7C	NKIRAS2	LILRB2	AKR7A3		DAAM1			ZNF407	CDK2AP2		SDC2	ATAD2	KLHDC4	TCF20	C9ORF21	S100PBP				MCCC1		GDI2		ADAM17	C16ORF72	GDPD1	TTC39C	AASDHPPT	PDHX	PIK3IP1		CFH	UBE2Z		CCL13	ACTR2	C22ORF25	PTPRM	
92	TBCD	RP2	LTBP3		TCIRG1	SCYL2		PAXIP1		PDE6D	AKTIP	SMARCC1	RABAC1		PITPNA			C20ORF108	SCRN1		AHI1	RBL1	TAX1BP1	PUS7	SEC22C	DHX15				SIRT5		A4GALT		C21ORF33	C2ORF49		PIGS	TRPM4	C12ORF35	ZNF641		DAB2	HK1		UBAP2L	HLA-DMA	ITM2B	AACS	
93	TDG	PEX26	NUP54		NME6	LOC646197		C6ORF106		RPS11	RPS15	TMEM50B	LOC646630		RASSF7			NANS	LAIR2		KLHL18	C20ORF100	ATPBD4	GRB10	FAM98C	TFIP11				LOC145853		RAB7L1		MEIS3P1			SEC31A	MGC72104	UBE1DC1	MTHFSD		ZNF503	NUP85		CHMP2A	ARHGEF6	PHLDB1	IQGAP1	
94	TECR	MRC1L1	STYXL1		GBF1	LOC654346		TM9SF2		LOC644029	RPL17	C1ORF35	LYRM5		MAP1A			SLC35A2	DHDDS		GALIG	MCM2	CPD	TAF12	RTF1	HAT1				ANXA7		TWIST1		RPS6KB1			OSTC	SSX4	CMAS	MYO1A		LILRB5	SERPINA1		ZNF439	HTRA2	CRTAP	VPS37C	
95	THAP1	DSCAM	ZFPM1		RAD23A	ZFP91		TUT1		RPL36	DNAI2	ANGPTL6	MIF		GALNT12			GSDMB	TBL1X			CEP152	USP39	TLR8	KLHL20	TKT				CXCL6		ZC3H12A		NDUFA13			FTSJ1	ISCA1	C14ORF142	STARD13		FAM125A	ATG16L1		GLRX	TGM2	LOC153561	ACP2	
96	TIGD7	LOC390466	SEC62		EPS15	TH1L		OSCAR		EIF3D	RPS20	ADA	SHPK		ARHGAP23			ARRDC2	GSR			SGOL2	ADSL	KHNYN	VKORC1L1	PCBD2				SLC38A9		PQLC1		APRT			ZFP90	LOC729559	ALDH1A2	DNAL4		SLC25A29	ACVR1B		AHCTF1	ENPP2	ASGR1	C20ORF127	
97	TMED2	BP75	MIIP		KAT5	MRPL38				TDRD7	RPL18	C7ORF23	A2M		LOC284998			MKNK2	PSORS1C1			FEN1	LIMA1	SAT2	ARFGAP1	SEC24C				UBE2Q1		ZYX		NUFIP2			FRAT2	STAG3L2	GTF2H3	SFRS13A		HMOX1	RAP2A		C15ORF57	PRKCABP	SLC30A5	ZYG11B	
98	TMED7	LOC654174	COPS8		UBTD1	AHSA1				C17ORF85	RPS27A	WDR41	CREG1		NLRP12			CCL7	DPYD			PTTG3P	ISG20	PRMT6	E2F6	DENR				TEX264		PLAGL2		PNRC2			LCMT2	H3F3B	TM7SF4	SPATS2L		M160	NT5DC2		CLP1	FAM20C	TBC1D23	ZNF280D	
99	TMEM33	BECN1	UBA6		GRK6	MRPL4				RPL24	RPL7	CDS1	LOC644128					FUBP1	IFI30			GINS2	SMUG1	EED	COMMD2	MRPL50				PDE8A		SOD2		LSM14A			SSH3	LOC255783	RBM4B	FRS3		HSDL2	TERF2IP		CHST13	COPG	MBP	FAHD2A	
100	TMEM39B	ARPC1B	CCL4L1		VAC14	LIMK1				RPL27A	LOC402694	HSPB1	RPA3					SGMS2	LOC653199			NCAPG2	C1ORF53	NOP14	COG6	CDK5RAP3				PPP1R15A		PTPN1		COMMD9			C19ORF54	LUC7L	TNS1	JARID1D		FMNL3	LRP5		SHOC2	C12ORF32	ARCN1	REPS2	
101	TRMT112	ECD	ENTPD6		ERLIN2	MTMR6				LOC388654	RNASET2	IFT88	UQCRC2					PHTF1	PTGR1			POLE2	SOS1	GPHN	CNPY3	SEL1L				TMCO3		C1QTNF1		RNF8			NAP1L5	C19ORF44	FADD	NUBP1		DOK7	TSPAN3		PDK3	UBQLN4	PGA5	PEF1	
102	UBA6	POLR2J3	ZFR		CHD6	KIAA1267				CUL4B	IKZF1	LOC728564	DFFB					PSMD11	GPR172A			RFC3	AKR1A1	ALG3	CTDSP1	GNPDA2				OSM		METTL13		ZCCHC14			TUBG2	SETX	CKS1B	VAV3		IQCK	FAM119B		ALAD	GATM	SYNJ2BP	CCL15	
103	USP1	SPG21	SYAP1		DNAJC5	NUDT22				TCF3	LOC642250	FBXO32	MAP1LC3C					MYLIP	ZNF217			ICMT	WDR75	SLC38A10	CHD4	FAM103A1				HIF1A		RSU1		SBDS			KIAA1468	CARD8	MTRF1	FRMD6		LOC644242	AP1M1		RPS23	UPF3B	C6ORF192	CD209	
104	USP15	GPR89B	SETD1A		KEAP1	MFSD7				MDP1	RGS10	HECW2	SELO					UPF2	FANCD2			SMC2	RNF13	ARHGAP24	ZNF839	ZNF76				GUSB		MRPL48		REV1			FLJ46906	ARMC10	NEK6	KIF13B		MFSD5	SLC35F2		TCF7L2	COL24A1	CEBPD	C9ORF5	
105	USP16	ZNF260	WDR45L		TXNDC11	LOC147804				HNRPA1L-2	COMMD6	TACC1	TARP					CDIPT	PSMB5			ME2	WDR61	FAM98A	ZCCHC9	EIF4EBP2				ARL5B		TNFAIP6		LST1			IGBP1	FYCO1	DNAJA3	ZKSCAN3		TMEM86A	SNCA		SLC31A2	MITF	TNFRSF10A	SLC2A9	
106	VPS4B	CCNC	DHRS4		SMARCA2	RBM38				KIAA1429	RPL35A	TTC3	MTIF2					LOC648605	LOC653468			PCNA	SAT1	TEX10	PEX13	C20ORF30				HIST1H2AC		TGIF1		LOC646531			SNX1	VPS13C	ZBED1	NSL1		MS4A6E	C1ORF216		VOPP1	TRAPPC4	MSRB2	CD40	
107	WASF2	LOC653884	MCOLN1		BET1L	SLC39A4				LOC642210	LOC391656	CYP2R1	MAPKAPK5					CATSPER2P1	ZCRB1				FBXO6	COPS3	SLC25A13	Sep-15				GUSBL1		MUT		CCDC84			C1ORF83	ESR1	OGFOD1	EDNRB		ASRGL1	ANXA6		PQLC3	DOPEY1	TMEM77	SCARB1	
108	WBP4		VPS4A		ADRM1	DHX30				RPL13A	WDR60	TRIP6	PLD2					CXORF38	TPCN2				KIAA2026	POMT2	PSTPIP1	UBE2V2				C6ORF70		B9D2		IDH3B			C2CD2	TMEM88	ZNF564	RGL2		ZFYVE26	C20ORF4		SNORD68	RNASE6	COBLL1	TMEM14C	
109	XPR1		RTN2		FAM73B	FLII				TRAPPC6B	LOC642989	ANXA11	VMO1					ST14	HYOU1				LILRA3	NOP2		LOC645236				RFX1		PTAFR		GSS			PRKCSH	CMC1	KCNN4	CPNE1		SLC35E1	FLJ23584		ARHGAP15	SNORA32	PEX5	PRKX	
